Run,Train_Accuracy,Train_Precision,Train_Recall,Train_F1_Score,Train_Average_Cost,Train_AEC,Train_Precision_2,Train_Recall_2,Train_TP_2,Train_TN_2,Train_FN_2,Train_FP_2,Train_FN_2_rate,Train_FP_2_rate,Train_TP_2_rate,Train_FP_0_2,Train_FP_1_2,Train_Precision_1,Train_Recall_1,Train_TP_1,Train_TN_1,Train_FN_1,Train_FP_1,Train_FN_1_rate,Train_FP_1_rate,Train_TP_1_rate,Train_FP_0_1,Train_FP_2_1,Train_Precision_0,Train_Recall_0,Train_TP_0,Train_TN_0,Train_FN_0,Train_FP_0,Train_FN_0_rate,Train_FP_0_rate,Train_TP_0_rate,Train_FP_1_0,Train_FP_2_0,Validation_Accuracy,Validation_Precision,Validation_Recall,Validation_F1_Score,Validation_Average_Cost,Validation_AEC,Validation_Precision_2,Validation_Recall_2,Validation_TP_2,Validation_TN_2,Validation_FN_2,Validation_FP_2,Validation_FN_2_rate,Validation_FP_2_rate,Validation_TP_2_rate,Validation_FP_0_2,Validation_FP_1_2,Validation_Precision_1,Validation_Recall_1,Validation_TP_1,Validation_TN_1,Validation_FN_1,Validation_FP_1,Validation_FN_1_rate,Validation_FP_1_rate,Validation_TP_1_rate,Validation_FP_0_1,Validation_FP_2_1,Validation_Precision_0,Validation_Recall_0,Validation_TP_0,Validation_TN_0,Validation_FN_0,Validation_FP_0,Validation_FN_0_rate,Validation_FP_0_rate,Validation_TP_0_rate,Validation_FP_1_0,Validation_FP_2_0,Test_Accuracy,Test_Precision,Test_Recall,Test_F1_Score,Test_Average_Cost,Test_AEC,Test_Precision_2,Test_Recall_2,Test_TP_2,Test_TN_2,Test_FN_2,Test_FP_2,Test_FN_2_rate,Test_FP_2_rate,Test_TP_2_rate,Test_FP_0_2,Test_FP_1_2,Test_Precision_1,Test_Recall_1,Test_TP_1,Test_TN_1,Test_FN_1,Test_FP_1,Test_FN_1_rate,Test_FP_1_rate,Test_TP_1_rate,Test_FP_0_1,Test_FP_2_1,Test_Precision_0,Test_Recall_0,Test_TP_0,Test_TN_0,Test_FN_0,Test_FP_0,Test_FN_0_rate,Test_FP_0_rate,Test_TP_0_rate,Test_FP_1_0,Test_FP_2_0
test_runs_CE,81.0910,0.7930,0.8070,0.7970,1.1491,2.1391,0.8118,0.6631,267.9000,697.8000,136.1000,62.2000,0.3369,0.0818,0.6631,16.9000,45.3000,0.8337,0.8993,529.7000,469.3000,59.3000,105.7000,0.1007,0.1838,0.8993,7.8000,97.9000,0.7384,0.8556,146.3000,940.8000,24.7000,52.2000,0.1444,0.0526,0.8556,14.0000,38.2000,76.2886,0.7370,0.7550,0.7400,1.5814,2.3567,0.7202,0.6082,81.5000,222.3000,52.5000,31.7000,0.3918,0.1248,0.6082,10.1000,21.6000,0.8177,0.8579,169.0000,153.3000,28.0000,37.7000,0.1421,0.1974,0.8579,1.4000,36.3000,0.6688,0.7982,45.5000,308.4000,11.5000,22.6000,0.2018,0.0683,0.7982,6.4000,16.2000,72.5710,0.7050,0.6860,0.6940,1.8928,2.5394,0.6662,0.6096,82.3000,212.7000,52.7000,41.3000,0.3904,0.1626,0.6096,14.4000,26.9000,0.7723,0.8381,165.1000,143.3000,31.9000,48.7000,0.1619,0.2536,0.8381,7.7000,41.0000,0.6787,0.6123,34.9000,315.3000,22.1000,16.7000,0.3877,0.0503,0.6123,5.0000,11.7000
test_runs_CE_weighted,77.7147,0.7470,0.7980,0.7580,1.3384,2.3355,0.7908,0.6225,251.5000,693.3000,152.5000,66.7000,0.3775,0.0878,0.6225,8.2000,58.5000,0.8522,0.8368,492.9000,489.5000,96.1000,85.5000,0.1632,0.1487,0.8368,2.6000,82.9000,0.6003,0.9368,160.2000,885.8000,10.8000,107.2000,0.0632,0.1080,0.9368,37.6000,69.6000,73.8660,0.7040,0.7540,0.7150,1.6991,2.5022,0.7121,0.5821,78.0000,222.3000,56.0000,31.7000,0.4179,0.1248,0.5821,6.7000,25.0000,0.8347,0.8076,159.1000,159.5000,37.9000,31.5000,0.1924,0.1649,0.8076,0.8000,30.7000,0.5652,0.8684,49.5000,292.8000,7.5000,38.2000,0.1316,0.1154,0.8684,12.9000,25.3000,70.0772,0.6650,0.6960,0.6740,1.9902,2.6811,0.6569,0.5704,77.0000,213.6000,58.0000,40.4000,0.4296,0.1591,0.5704,9.6000,30.8000,0.7863,0.7792,153.5000,150.2000,43.5000,41.8000,0.2208,0.2177,0.7792,5.3000,36.5000,0.5535,0.7386,42.1000,297.8000,14.9000,34.2000,0.2614,0.1030,0.7386,12.7000,21.5000
test_runs_AEC_CM1,50.6010,0.1700,0.3300,0.2200,1.4820,1.4820,,0.0000,0.0000,760.0000,404.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.5060,1.0000,589.0000,0.0000,0.0000,575.0000,0.0000,1.0000,1.0000,171.0000,404.0000,,0.0000,0.0000,993.0000,171.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,50.7730,0.1700,0.3300,0.2200,1.4770,1.4770,,0.0000,0.0000,254.0000,134.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.5077,1.0000,197.0000,0.0000,0.0000,191.0000,0.0000,1.0000,1.0000,57.0000,134.0000,,0.0000,0.0000,331.0000,57.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,50.6430,0.1700,0.3300,0.2200,1.4810,1.4810,,0.0000,0.0000,254.0000,135.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.5064,1.0000,197.0000,0.0000,0.0000,192.0000,0.0000,1.0000,1.0000,57.0000,135.0000,,0.0000,0.0000,332.0000,57.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
test_runs_AEC_CM2,50.6010,0.1700,0.3300,0.2200,1.4820,1.4820,,0.0000,0.0000,760.0000,404.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.5060,1.0000,589.0000,0.0000,0.0000,575.0000,0.0000,1.0000,1.0000,171.0000,404.0000,,0.0000,0.0000,993.0000,171.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,50.7730,0.1700,0.3300,0.2200,1.4770,1.4770,,0.0000,0.0000,254.0000,134.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.5077,1.0000,197.0000,0.0000,0.0000,191.0000,0.0000,1.0000,1.0000,57.0000,134.0000,,0.0000,0.0000,331.0000,57.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,50.6430,0.1700,0.3300,0.2200,1.4810,1.4810,,0.0000,0.0000,254.0000,135.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.5064,1.0000,197.0000,0.0000,0.0000,192.0000,0.0000,1.0000,1.0000,57.0000,135.0000,,0.0000,0.0000,332.0000,57.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
test_runs_AEC_CM3,52.3021,0.2100,0.3760,0.2650,1.4758,1.4763,,0.0000,0.0000,760.0000,404.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.5275,0.9919,584.2000,43.6000,4.8000,531.4000,0.0081,0.9242,0.9919,146.4000,385.0000,0.5069,0.1439,24.6000,969.2000,146.4000,23.8000,0.8561,0.0240,0.1439,4.8000,19.0000,52.2163,0.2070,0.3720,0.2610,1.4782,1.4805,,0.0000,0.0000,254.0000,134.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.5277,0.9904,195.1000,13.9000,1.9000,177.1000,0.0096,0.9272,0.9904,49.5000,127.6000,0.4706,0.1316,7.5000,322.7000,49.5000,8.3000,0.8684,0.0251,0.1316,1.9000,6.4000,51.9026,0.2070,0.3680,0.2600,1.4850,1.4830,,0.0000,0.0000,254.0000,135.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.5243,0.9898,195.0000,13.0000,2.0000,179.0000,0.0102,0.9323,0.9898,50.1000,128.9000,0.4603,0.1211,6.9000,323.9000,50.1000,8.1000,0.8789,0.0244,0.1211,2.0000,6.1000
test_runs_RWWCE1_CM1,73.2818,0.8030,0.6970,0.6970,0.9264,1.3882,0.9568,0.3703,149.6000,753.1000,254.4000,6.9000,0.6297,0.0091,0.3703,3.0000,3.9000,0.6843,0.9793,576.8000,308.7000,12.2000,266.3000,0.0207,0.4631,0.9793,41.4000,224.9000,0.7723,0.7404,126.6000,955.2000,44.4000,37.8000,0.2596,0.0381,0.7404,8.3000,29.5000,71.2370,0.7660,0.6740,0.6690,1.0595,1.4756,0.9070,0.3470,46.5000,249.2000,87.5000,4.8000,0.6530,0.0189,0.3470,1.5000,3.3000,0.6775,0.9594,189.0000,101.0000,8.0000,90.0000,0.0406,0.4712,0.9594,14.6000,75.4000,0.7095,0.7175,40.9000,314.2000,16.1000,16.8000,0.2825,0.0508,0.7175,4.7000,12.1000,69.5888,0.7450,0.6390,0.6490,1.1849,1.5696,0.8502,0.3667,49.5000,245.3000,85.5000,8.7000,0.6333,0.0343,0.3667,2.2000,6.5000,0.6600,0.9487,186.9000,95.7000,10.1000,96.3000,0.0513,0.5016,0.9487,20.5000,75.8000,0.7249,0.6018,34.3000,318.7000,22.7000,13.3000,0.3982,0.0401,0.6018,3.6000,9.7000
test_runs_RWWCE1_CM2,61.7869,0.4040,0.6080,0.4850,1.3721,1.8043,,0.0000,0.0000,760.0000,404.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.6300,0.9752,574.4000,237.2000,14.6000,337.8000,0.0248,0.5875,0.9752,26.2000,311.6000,0.5790,0.8468,144.8000,886.0000,26.2000,107.0000,0.1532,0.1078,0.8468,14.6000,92.4000,61.0565,0.3950,0.6010,0.4750,1.3867,1.8027,,0.0000,0.0000,254.0000,134.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.6288,0.9563,188.4000,79.6000,8.6000,111.4000,0.0437,0.5832,0.9563,8.5000,102.9000,0.5538,0.8509,48.5000,291.3000,8.5000,39.7000,0.1491,0.1199,0.8509,8.6000,31.1000,59.5115,0.3850,0.5630,0.4560,1.4062,1.8348,,0.0000,0.0000,254.0000,135.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.6060,0.9670,190.5000,68.0000,6.5000,124.0000,0.0330,0.6458,0.9670,16.0000,108.0000,0.5550,0.7193,41.0000,298.5000,16.0000,33.5000,0.2807,0.1009,0.7193,6.5000,27.0000
test_runs_RWWCE1_CM3,73.9521,0.7630,0.7300,0.6900,1.0245,1.3882,0.9622,0.3775,152.5000,754.0000,251.5000,6.0000,0.6225,0.0079,0.3775,0.8000,5.2000,0.7475,0.9506,559.9000,385.8000,29.1000,189.2000,0.0494,0.3290,0.9506,21.8000,167.4000,0.5808,0.8678,148.4000,885.0000,22.6000,108.0000,0.1322,0.1088,0.8678,23.9000,84.1000,72.4485,0.7400,0.7210,0.6740,1.1227,1.4724,0.9197,0.3604,48.3000,249.8000,85.7000,4.2000,0.6396,0.0165,0.3604,0.7000,3.5000,0.7437,0.9284,182.9000,127.9000,14.1000,63.1000,0.0716,0.3304,0.9284,6.4000,56.7000,0.5598,0.8754,49.9000,291.4000,7.1000,39.6000,0.1246,0.1196,0.8754,10.6000,29.0000,71.1052,0.7170,0.6870,0.6610,1.2422,1.5838,0.8536,0.3830,51.7000,245.1000,83.3000,8.9000,0.6170,0.0350,0.3830,1.9000,7.0000,0.7190,0.9223,181.7000,120.9000,15.3000,71.1000,0.0777,0.3703,0.9223,11.9000,59.2000,0.5732,0.7579,43.2000,299.6000,13.8000,32.4000,0.2421,0.0976,0.7579,8.3000,24.1000
test_runs_RWWCE2_CM1,78.0070,0.7560,0.7950,0.7580,1.1954,2.1049,0.8284,0.5963,240.9000,710.0000,163.1000,50.0000,0.4037,0.0658,0.5963,8.6000,41.4000,0.8381,0.8623,507.9000,476.9000,81.1000,98.1000,0.1377,0.1706,0.8623,3.2000,94.9000,0.5977,0.9310,159.2000,885.1000,11.8000,107.9000,0.0690,0.1087,0.9310,39.7000,68.2000,74.8969,0.7160,0.7560,0.7200,1.5085,2.2857,0.7511,0.5597,75.0000,229.1000,59.0000,24.9000,0.4403,0.0980,0.5597,6.9000,18.0000,0.8263,0.8447,166.4000,156.0000,30.6000,35.0000,0.1553,0.1832,0.8447,0.9000,34.1000,0.5686,0.8632,49.2000,293.5000,7.8000,37.5000,0.1368,0.1133,0.8632,12.6000,24.9000,70.7198,0.6750,0.6970,0.6760,1.7710,2.4587,0.6948,0.5385,72.7000,222.0000,62.3000,32.0000,0.4615,0.1260,0.5385,8.2000,23.8000,0.7708,0.8137,160.3000,144.3000,36.7000,47.7000,0.1863,0.2484,0.8137,6.7000,41.0000,0.5535,0.7386,42.1000,297.8000,14.9000,34.2000,0.2614,0.1030,0.7386,12.9000,21.3000
test_runs_RWWCE2_CM2,77.2166,0.7510,0.7910,0.7440,1.1624,2.0250,0.8479,0.5609,226.6000,719.3000,177.4000,40.7000,0.4391,0.0536,0.5609,6.6000,34.1000,0.8303,0.8676,511.0000,470.5000,78.0000,104.5000,0.1324,0.1817,0.8676,3.2000,101.3000,0.5745,0.9427,161.2000,873.0000,9.8000,120.0000,0.0573,0.1208,0.9427,43.9000,76.1000,74.6135,0.7150,0.7550,0.7150,1.4403,2.1989,0.7719,0.5321,71.3000,232.9000,62.7000,21.1000,0.4679,0.0831,0.5321,5.9000,15.2000,0.8216,0.8528,168.0000,154.5000,29.0000,36.5000,0.1472,0.1911,0.8528,0.9000,35.6000,0.5521,0.8807,50.2000,290.1000,6.8000,40.9000,0.1193,0.1236,0.8807,13.8000,27.1000,70.8997,0.6770,0.7020,0.6760,1.6757,2.3684,0.7164,0.5170,69.8000,226.3000,65.2000,27.7000,0.4830,0.1091,0.5170,6.9000,20.8000,0.7696,0.8254,162.6000,143.3000,34.4000,48.7000,0.1746,0.2536,0.8254,6.7000,42.0000,0.5430,0.7614,43.4000,295.2000,13.6000,36.8000,0.2386,0.1108,0.7614,13.6000,23.2000
