Run,Train_Accuracy,Train_Precision,Train_Recall,Train_F1_Score,Train_Average_Cost,Train_AEC,Train_Precision_2,Train_Recall_2,Train_TP_2,Train_TN_2,Train_FN_2,Train_FP_2,Train_FN_2_rate,Train_FP_2_rate,Train_TP_2_rate,Train_FP_0_2,Train_FP_1_2,Train_Precision_1,Train_Recall_1,Train_TP_1,Train_TN_1,Train_FN_1,Train_FP_1,Train_FN_1_rate,Train_FP_1_rate,Train_TP_1_rate,Train_FP_0_1,Train_FP_2_1,Train_Precision_0,Train_Recall_0,Train_TP_0,Train_TN_0,Train_FN_0,Train_FP_0,Train_FN_0_rate,Train_FP_0_rate,Train_TP_0_rate,Train_FP_1_0,Train_FP_2_0,Validation_Accuracy,Validation_Precision,Validation_Recall,Validation_F1_Score,Validation_Average_Cost,Validation_AEC,Validation_Precision_2,Validation_Recall_2,Validation_TP_2,Validation_TN_2,Validation_FN_2,Validation_FP_2,Validation_FN_2_rate,Validation_FP_2_rate,Validation_TP_2_rate,Validation_FP_0_2,Validation_FP_1_2,Validation_Precision_1,Validation_Recall_1,Validation_TP_1,Validation_TN_1,Validation_FN_1,Validation_FP_1,Validation_FN_1_rate,Validation_FP_1_rate,Validation_TP_1_rate,Validation_FP_0_1,Validation_FP_2_1,Validation_Precision_0,Validation_Recall_0,Validation_TP_0,Validation_TN_0,Validation_FN_0,Validation_FP_0,Validation_FN_0_rate,Validation_FP_0_rate,Validation_TP_0_rate,Validation_FP_1_0,Validation_FP_2_0,Test_Accuracy,Test_Precision,Test_Recall,Test_F1_Score,Test_Average_Cost,Test_AEC,Test_Precision_2,Test_Recall_2,Test_TP_2,Test_TN_2,Test_FN_2,Test_FP_2,Test_FN_2_rate,Test_FP_2_rate,Test_TP_2_rate,Test_FP_0_2,Test_FP_1_2,Test_Precision_1,Test_Recall_1,Test_TP_1,Test_TN_1,Test_FN_1,Test_FP_1,Test_FN_1_rate,Test_FP_1_rate,Test_TP_1_rate,Test_FP_0_1,Test_FP_2_1,Test_Precision_0,Test_Recall_0,Test_TP_0,Test_TN_0,Test_FN_0,Test_FP_0,Test_FN_0_rate,Test_FP_0_rate,Test_TP_0_rate,Test_FP_1_0,Test_FP_2_0
test_runs_CE,81.7354,0.8050,0.8210,0.8080,1.1406,1.9960,0.8104,0.6936,280.2000,694.3000,123.8000,65.7000,0.3064,0.0864,0.6936,9.3000,56.4000,0.8389,0.8823,519.7000,475.1000,69.3000,99.9000,0.1177,0.1737,0.8823,10.2000,89.7000,0.7642,0.8860,151.5000,946.0000,19.5000,47.0000,0.1140,0.0473,0.8860,12.9000,34.1000,76.2628,0.7420,0.7590,0.7430,1.4649,2.3574,0.7442,0.5851,78.4000,227.0000,55.6000,27.0000,0.4149,0.1063,0.5851,6.8000,20.2000,0.7990,0.8670,170.8000,148.0000,26.2000,43.0000,0.1330,0.2251,0.8670,3.5000,39.5000,0.6801,0.8193,46.7000,308.9000,10.3000,22.1000,0.1807,0.0668,0.8193,6.0000,16.1000,76.7610,0.7370,0.7750,0.7480,1.5828,2.2146,0.7307,0.6259,84.5000,222.8000,50.5000,31.2000,0.3741,0.1228,0.6259,6.5000,24.7000,0.8445,0.8376,165.0000,161.6000,32.0000,30.4000,0.1624,0.1583,0.8376,1.4000,29.0000,0.6311,0.8614,49.1000,303.2000,7.9000,28.8000,0.1386,0.0867,0.8614,7.3000,21.5000
test_runs_CE_weighted,77.5430,0.7460,0.8020,0.7590,1.4191,2.2880,0.7724,0.6488,262.1000,682.7000,141.9000,77.3000,0.3512,0.1017,0.6488,4.9000,72.4000,0.8605,0.8124,478.5000,497.4000,110.5000,77.6000,0.1876,0.1350,0.8124,4.1000,73.5000,0.6044,0.9474,162.0000,886.5000,9.0000,106.5000,0.0526,0.1073,0.9474,38.1000,68.4000,72.7577,0.6940,0.7470,0.7030,1.6739,2.5595,0.7204,0.5575,74.7000,225.0000,59.3000,29.0000,0.4425,0.1142,0.5575,4.7000,24.3000,0.8235,0.7975,157.1000,157.3000,39.9000,33.7000,0.2025,0.1764,0.7975,1.8000,31.9000,0.5414,0.8860,50.5000,288.0000,6.5000,43.0000,0.1140,0.1299,0.8860,15.6000,27.4000,73.1106,0.6950,0.7520,0.7070,1.8028,2.4548,0.7003,0.5815,78.5000,220.4000,56.5000,33.6000,0.4185,0.1323,0.5815,5.0000,28.6000,0.8532,0.7878,155.2000,165.3000,41.8000,26.7000,0.2122,0.1391,0.7878,1.3000,25.4000,0.5344,0.8895,50.7000,287.7000,6.3000,44.3000,0.1105,0.1334,0.8895,13.2000,31.1000
test_runs_AEC_CM1,50.6010,0.1700,0.3300,0.2200,1.4820,1.4820,,0.0000,0.0000,760.0000,404.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.5060,1.0000,589.0000,0.0000,0.0000,575.0000,0.0000,1.0000,1.0000,171.0000,404.0000,,0.0000,0.0000,993.0000,171.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,50.7730,0.1700,0.3300,0.2200,1.4770,1.4770,,0.0000,0.0000,254.0000,134.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.5077,1.0000,197.0000,0.0000,0.0000,191.0000,0.0000,1.0000,1.0000,57.0000,134.0000,,0.0000,0.0000,331.0000,57.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,50.6430,0.1700,0.3300,0.2200,1.4810,1.4810,,0.0000,0.0000,254.0000,135.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.5064,1.0000,197.0000,0.0000,0.0000,192.0000,0.0000,1.0000,1.0000,57.0000,135.0000,,0.0000,0.0000,332.0000,57.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
test_runs_RWWCE1_CM1,72.1048,0.7920,0.6740,0.6820,0.9819,1.4453,0.9340,0.3757,151.8000,749.3000,252.2000,10.7000,0.6243,0.0141,0.3757,2.8000,7.9000,0.6724,0.9715,572.2000,296.1000,16.8000,278.9000,0.0285,0.4850,0.9715,52.9000,226.0000,0.7683,0.6743,115.3000,957.9000,55.7000,35.1000,0.3257,0.0353,0.6743,8.9000,26.2000,68.0672,0.7350,0.6290,0.6280,1.2184,1.6390,0.8376,0.2970,39.8000,246.3000,94.2000,7.7000,0.7030,0.0303,0.2970,2.4000,5.3000,0.6490,0.9558,188.3000,89.1000,8.7000,101.9000,0.0442,0.5335,0.9558,18.6000,83.3000,0.7165,0.6316,36.0000,316.7000,21.0000,14.3000,0.3684,0.0432,0.6316,3.4000,10.9000,69.9743,0.7360,0.6820,0.6570,1.2025,1.6220,0.8368,0.3022,40.8000,246.1000,94.2000,7.9000,0.6978,0.0311,0.3022,0.6000,7.3000,0.6780,0.9421,185.6000,103.8000,11.4000,88.2000,0.0579,0.4594,0.9421,10.6000,77.6000,0.6891,0.8035,45.8000,311.3000,11.2000,20.7000,0.1965,0.0623,0.8035,4.1000,16.6000
test_runs_RWWCE2_CM1,78.3592,0.7580,0.8060,0.7640,1.2111,2.0343,0.8203,0.6181,249.7000,705.2000,154.3000,54.8000,0.3819,0.0721,0.6181,3.7000,51.1000,0.8416,0.8487,499.9000,480.9000,89.1000,94.1000,0.1513,0.1637,0.8487,4.8000,89.3000,0.6129,0.9503,162.5000,890.0000,8.5000,103.0000,0.0497,0.1037,0.9503,38.0000,65.0000,73.5309,0.7060,0.7470,0.7060,1.4832,2.3263,0.7618,0.5261,70.5000,231.9000,63.5000,22.1000,0.4739,0.0870,0.5261,4.7000,17.4000,0.8076,0.8350,164.5000,151.8000,32.5000,39.2000,0.1650,0.2052,0.8350,2.0000,37.2000,0.5493,0.8825,50.3000,289.6000,6.7000,41.4000,0.1175,0.1251,0.8825,15.1000,26.3000,74.2159,0.7080,0.7590,0.7150,1.6296,2.2240,0.7326,0.5644,76.2000,226.2000,58.8000,27.8000,0.4356,0.1094,0.5644,4.4000,23.4000,0.8429,0.8193,161.4000,161.9000,35.6000,30.1000,0.1807,0.1568,0.8193,1.5000,28.6000,0.5469,0.8965,51.1000,289.6000,5.9000,42.4000,0.1035,0.1277,0.8965,12.2000,30.2000
test_runs_RWWCE3_CM1,81.6408,0.8040,0.8200,0.8050,1.0700,1.8960,0.8293,0.6728,271.8000,704.0000,132.2000,56.0000,0.3272,0.0737,0.6728,7.8000,48.2000,0.8302,0.8939,526.5000,467.3000,62.5000,107.7000,0.1061,0.1873,0.8939,11.2000,96.5000,0.7537,0.8889,152.0000,943.0000,19.0000,50.0000,0.1111,0.0504,0.8889,14.3000,35.7000,76.3660,0.7430,0.7580,0.7430,1.3854,2.2451,0.7633,0.5634,75.5000,230.5000,58.5000,23.5000,0.4366,0.0925,0.5634,6.2000,17.3000,0.7941,0.8807,173.5000,146.0000,23.5000,45.0000,0.1193,0.2356,0.8807,3.5000,41.5000,0.6725,0.8298,47.3000,307.8000,9.7000,23.2000,0.1702,0.0701,0.8298,6.2000,17.0000,76.6581,0.7330,0.7740,0.7430,1.5099,2.1119,0.7449,0.6015,81.2000,226.2000,53.8000,27.8000,0.3985,0.1094,0.6015,6.2000,21.6000,0.8352,0.8508,167.6000,158.9000,29.4000,33.1000,0.1492,0.1724,0.8508,1.4000,31.7000,0.6239,0.8667,49.4000,302.1000,7.6000,29.9000,0.1333,0.0901,0.8667,7.8000,22.1000
test_runs_constraint_aware_stepwise_CE,62.6976,0.7080,0.6690,0.5540,1.4872,1.5594,0.9824,0.2002,80.9000,758.2000,323.1000,1.8000,0.7998,0.0024,0.2002,0.0000,1.8000,0.7614,0.8126,478.6000,424.8000,110.4000,150.2000,0.1874,0.2612,0.8126,0.7000,149.5000,0.3802,0.9959,170.3000,710.8000,0.7000,282.2000,0.0041,0.2842,0.9959,108.6000,173.6000,59.6391,0.6780,0.6380,0.5080,1.6212,1.7265,0.9270,0.1351,18.1000,252.5000,115.9000,1.5000,0.8649,0.0059,0.1351,0.3000,1.2000,0.7389,0.8000,157.6000,135.3000,39.4000,55.7000,0.2000,0.2916,0.8000,1.0000,54.7000,0.3622,0.9772,55.7000,231.6000,1.3000,99.4000,0.0228,0.3003,0.9772,38.2000,61.2000,61.4396,0.6920,0.6560,0.5280,1.5967,1.6888,0.9423,0.1452,19.6000,252.4000,115.4000,1.6000,0.8548,0.0063,0.1452,0.1000,1.5000,0.7573,0.8249,162.5000,139.8000,34.5000,52.2000,0.1751,0.2719,0.8249,0.0000,52.2000,0.3751,0.9982,56.9000,235.8000,0.1000,96.2000,0.0018,0.2898,0.9982,33.0000,63.2000
test_runs_constraint_aware_stepwise_WCE,60.5756,0.6950,0.6510,0.5230,1.5404,1.6159,0.9687,0.1485,60.0000,757.9000,344.0000,2.1000,0.8515,0.0028,0.1485,0.0000,2.1000,0.7314,0.8058,474.6000,400.4000,114.4000,174.6000,0.1942,0.3037,0.8058,0.5000,174.1000,0.3807,0.9971,170.5000,710.8000,0.5000,282.2000,0.0029,0.2842,0.9971,112.3000,169.9000,58.9690,0.6700,0.6300,0.4980,1.6381,1.7525,0.9147,0.1112,14.9000,252.5000,119.1000,1.5000,0.8888,0.0059,0.1112,0.2000,1.3000,0.7265,0.8030,158.2000,131.4000,38.8000,59.6000,0.1970,0.3120,0.8030,1.1000,58.5000,0.3655,0.9772,55.7000,232.9000,1.3000,98.1000,0.0228,0.2964,0.9772,37.5000,60.6000,59.7172,0.6660,0.6380,0.5010,1.6352,1.7147,0.8919,0.1074,14.5000,252.3000,120.5000,1.7000,0.8926,0.0067,0.1074,0.2000,1.5000,0.7313,0.8198,161.5000,132.5000,35.5000,59.5000,0.1802,0.3099,0.8198,0.5000,59.0000,0.3751,0.9877,56.3000,236.5000,0.7000,95.5000,0.0123,0.2877,0.9877,34.0000,61.5000
Mean,70.6572,0.6847,0.6966,0.6394,1.2915,1.7896,0.8739,0.4197,169.5625,726.4500,234.4375,33.5500,0.5803,0.0441,0.4197,3.5625,29.9875,0.7553,0.8784,517.3750,380.2500,71.6250,194.7500,0.1216,0.3387,0.8784,31.9250,162.8250,0.6092,0.7925,135.5125,879.7500,35.4875,113.2500,0.2075,0.1140,0.7925,41.6375,71.6125,67.0457,0.6422,0.6548,0.5936,1.4953,2.0104,0.8099,0.3469,46.4875,239.9625,87.5125,14.0375,0.6531,0.0553,0.3469,3.1625,10.8750,0.7308,0.8674,170.8750,119.8625,26.1250,71.1375,0.1326,0.3724,0.8674,11.0625,60.0750,0.5553,0.7504,42.7750,288.3125,14.2250,42.6875,0.2496,0.1290,0.7504,15.2500,27.4375,67.8150,0.6421,0.6707,0.6024,1.5551,1.9390,0.7971,0.3660,49.4125,237.5500,85.5875,16.4500,0.6340,0.0648,0.3660,2.8750,13.5750,0.7561,0.8603,169.4750,127.9750,27.5250,64.0250,0.1397,0.3335,0.8603,9.2125,54.8125,0.5394,0.7879,44.9125,287.2750,12.0875,44.7250,0.2121,0.1347,0.7879,13.9500,30.7750
Std,11.4608,0.2121,0.1654,0.2015,0.2161,0.3067,0.0852,0.2753,111.2335,32.8376,111.2335,32.8376,0.2753,0.0432,0.2753,3.6123,29.8406,0.1200,0.0742,43.7108,166.6865,43.7108,166.6865,0.0742,0.2899,0.0742,58.7438,110.5779,0.1707,0.3364,57.5249,109.9100,57.5249,109.9100,0.3364,0.1107,0.3364,44.5317,65.4692,9.5052,0.1929,0.1442,0.1799,0.1504,0.4047,0.0839,0.2400,32.1650,12.5245,32.1650,12.5245,0.2400,0.0493,0.2400,2.7964,9.8971,0.1067,0.0758,14.9299,52.8897,14.9299,52.8897,0.0758,0.2769,0.0758,19.4565,34.0612,0.1465,0.3223,18.3688,37.2641,18.3688,37.2641,0.3223,0.1126,0.3223,14.9397,22.3758,9.5094,0.1924,0.1481,0.1811,0.1722,0.3538,0.0934,0.2570,34.7001,14.8859,34.7001,14.8859,0.2570,0.0586,0.2570,2.9114,12.1050,0.1196,0.0724,14.2549,55.7461,14.2549,55.7461,0.0724,0.2903,0.0724,19.6051,37.2757,0.1239,0.3249,18.5193,34.4016,18.5193,34.4016,0.3249,0.1036,0.3249,12.7739,21.7294
